                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4695,                 5.5958,                 1.3519,                0.48898,                0.35782,                0.36268,                0.22383,                 1.3804,                 2.0938,                 1.2696,             0.00023538,             0.00023538,             0.00023538
                      2,                 1.3481,                 2.1052,                 1.2708,                0.61846,                0.32522,                0.34714,                0.22645,                 1.3964,                 1.7278,                 1.2764,             0.00047182,             0.00047182,             0.00047182
                      3,                 1.3163,                 1.7756,                 1.2336,                0.64282,                0.24771,                0.30694,                0.18596,                 1.4279,                 1.9706,                 1.3173,             0.00070669,             0.00070669,             0.00070669
                      4,                 1.2868,                 1.6118,                 1.2183,                0.66151,                0.33664,                0.36555,                0.20958,                 1.3929,                 1.7066,                 1.3199,             0.00070693,             0.00070693,             0.00070693
                      5,                 1.2807,                 1.4945,                 1.2241,                0.92507,                0.32754,                0.45163,                0.27656,                 1.3576,                 1.3851,                 1.2741,             0.00070693,             0.00070693,             0.00070693
                      6,                 1.2441,                 1.3629,                 1.1973,                0.76832,                0.41015,                0.52379,                0.31442,                 1.3549,                 1.3532,                 1.2803,             0.00070458,             0.00070458,             0.00070458
                      7,                  1.217,                 1.2708,                 1.1711,                0.49909,                 0.4464,                0.45004,                 0.2544,                 1.3759,                 1.3837,                  1.277,             0.00070222,             0.00070222,             0.00070222
                      8,                 1.1853,                 1.2324,                 1.1673,                0.76651,                0.45916,                0.54688,                0.31351,                 1.3691,                 1.3671,                 1.2945,             0.00069986,             0.00069986,             0.00069986
                      9,                 1.1473,                  1.185,                 1.1548,                0.64428,                0.52374,                0.55564,                0.33593,                 1.3517,                 1.2247,                 1.2533,             0.00069751,             0.00069751,             0.00069751
                     10,                 1.1063,                 1.1087,                 1.1227,                0.64755,                0.47776,                0.52804,                0.32567,                 1.3205,                 1.2673,                 1.2343,             0.00069515,             0.00069515,             0.00069515
                     11,                 1.1288,                 1.0934,                 1.1257,                0.79173,                0.44179,                0.56348,                0.35041,                 1.2796,                 1.2092,                 1.2081,             0.00069279,             0.00069279,             0.00069279
                     12,                 1.0711,                 1.0487,                 1.0996,                0.72977,                 0.4557,                 0.5791,                0.36392,                 1.2634,                 1.1896,                 1.1871,             0.00069044,             0.00069044,             0.00069044
                     13,                 1.0595,                0.96787,                 1.0891,                0.68273,                0.55136,                0.58218,                0.35456,                 1.2452,                 1.1745,                 1.1891,             0.00068808,             0.00068808,             0.00068808
                     14,                 1.0677,                0.96978,                 1.0848,                0.57723,                0.51312,                0.52866,                0.32303,                 1.2375,                 1.1934,                 1.1868,             0.00068573,             0.00068573,             0.00068573
                     15,                 1.0177,                0.91653,                 1.0612,                0.67522,                0.58422,                0.61194,                0.38573,                  1.301,                 1.1244,                 1.2237,             0.00068337,             0.00068337,             0.00068337
                     16,                 1.0389,                0.95033,                 1.0758,                0.73657,                0.53909,                 0.6178,                0.39422,                 1.2685,                 1.1107,                  1.214,             0.00068101,             0.00068101,             0.00068101
                     17,                 1.0105,                0.87958,                 1.0585,                0.84325,                0.49217,                0.57403,                0.37311,                 1.2708,                 1.1281,                 1.2091,             0.00067866,             0.00067866,             0.00067866
                     18,                0.99121,                0.85972,                 1.0567,                0.66966,                0.49369,                0.57805,                0.34975,                 1.2883,                 1.1256,                 1.2122,              0.0006763,              0.0006763,              0.0006763
                     19,                0.99237,                0.87276,                 1.0631,                 0.7073,                0.55501,                0.61928,                0.38424,                 1.2567,                 1.1385,                 1.1926,             0.00067394,             0.00067394,             0.00067394
                     20,                0.98328,                0.85272,                 1.0517,                0.74581,                0.51847,                0.60282,                0.37719,                 1.2418,                 1.0673,                 1.1892,             0.00067159,             0.00067159,             0.00067159
                     21,                0.93172,                0.79058,                 1.0102,                0.70939,                 0.5598,                0.60365,                0.38895,                 1.2392,                 1.0884,                 1.1969,             0.00066923,             0.00066923,             0.00066923
                     22,                0.93565,                0.79038,                 1.0277,                0.73456,                 0.5831,                 0.6315,                0.40273,                 1.2512,                 1.1286,                 1.2121,             0.00066688,             0.00066688,             0.00066688
                     23,                0.92473,                 0.7677,                 1.0098,                0.76876,                0.51868,                0.60826,                 0.3779,                 1.2787,                 1.1423,                 1.2107,             0.00066452,             0.00066452,             0.00066452
